block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[0, 0]",0,"[-1, 0]",0,1,1,-0.5,0.0,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.59), np.float64(0.0)]",1,"[np.float64(0.59), np.float64(-1.0)]",0,0,2,-0.20500000000000002,-0.59,0.0
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,1,0.5,0.0,0.0
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,1,0.5,0.0,0.0
0,2,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.51), np.float64(0.0)]",0,"[np.float64(-0.51), np.float64(0.0)]",0,1,2,-0.255,0.51,0.0
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.51), np.float64(0.0)]",0,"[np.float64(0.49), np.float64(0.0)]",0,1,2,0.245,0.51,0.0
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",0,"[0, -1]",0,1,1,-0.5,0.0,0.0
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.51)]",0,"[np.float64(-1.0), np.float64(-0.49)]",0,1,2,-0.745,0.0,-0.51
0,3,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.2091), np.float64(0.0)]",0,"[np.float64(0.7908999999999999), np.float64(1.0)]",0,1,3,0.89545,0.2091,0.0
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.59), np.float64(-0.7599)]",0,"[np.float64(0.59), np.float64(-0.24009999999999998)]",0,1,3,0.17495,-0.59,-0.7599
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.675731), np.float64(0.51)]",0,"[np.float64(0.32426900000000003), np.float64(-0.51)]",0,1,4,-0.09286549999999999,0.675731,0.51
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.28909999999999997), np.float64(-0.59)]",0,"[np.float64(0.28909999999999997), np.float64(-0.41000000000000003)]",0,1,3,-0.06045000000000003,-0.28909999999999997,-0.59
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.7990999999999999), np.float64(0.0)]",0,"[np.float64(0.20090000000000008), np.float64(0.0)]",0,1,3,0.10045000000000004,0.7990999999999999,0.0
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.118531), np.float64(-0.7990999999999999)]",0,"[np.float64(-0.8814690000000001), np.float64(-0.20090000000000008)]",0,1,4,-0.5411845000000001,-0.118531,-0.7990999999999999
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.2419), np.float64(-0.882351)]",0,"[np.float64(0.2419), np.float64(-0.117649)]",0,1,4,0.0621255,-0.2419,-0.882351
0,4,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.917631), np.float64(0.0)]",0,"[np.float64(0.08236900000000003), np.float64(0.0)]",0,1,4,0.04118450000000001,0.917631,0.0
0,5,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.96622871), np.float64(0.0)]",0,"[np.float64(-0.96622871), np.float64(0.0)]",0,1,5,-0.483114355,0.96622871,0.0
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.63859771), np.float64(-0.901559)]",0,"[np.float64(0.63859771), np.float64(0.901559)]",0,1,5,0.770078355,-0.63859771,-0.901559
0,6,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.39615377110000005), np.float64(0.0)]",0,"[np.float64(-0.39615377110000005), np.float64(0.0)]",0,1,6,-0.19807688555000003,0.39615377110000005,0.0
0,5,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.86704971), np.float64(0.2499)]",0,"[np.float64(-0.86704971), np.float64(0.7501)]",0,1,5,-0.05847485499999999,0.86704971,0.2499
0,6,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.3554903811), np.float64(0.632451)]",1,"[np.float64(-0.3554903811), np.float64(-0.632451)]",0,0,6,-0.49397069055,0.3554903811,0.632451
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.09917900000000002), np.float64(-0.94235199)]",0,"[np.float64(0.09917900000000002), np.float64(0.94235199)]",0,1,5,0.520765495,-0.09917900000000002,-0.94235199
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(-0.26182506110000003), np.float64(-0.44176391)]",0,"[np.float64(-0.7381749389), np.float64(0.44176391)]",0,1,6,-0.14820551445,-0.26182506110000003,-0.44176391
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.04066339000000001), np.float64(-0.4617524751)]",0,"[np.float64(0.04066339000000001), np.float64(-0.5382475249)]",0,1,6,-0.24879206745000002,-0.04066339000000001,-0.4617524751
0,7,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.697348275051), np.float64(-0.21646431589999998)]",1,"[np.float64(0.697348275051), np.float64(-0.7835356841000001)]",0,0,7,-0.04309370452450001,-0.697348275051,-0.21646431589999998
0,7,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.17419028673899997), np.float64(0.25930491)]",0,"[np.float64(0.8258097132610001), np.float64(-0.25930491)]",0,1,7,0.28325240163050003,0.17419028673899997,0.25930491
0,7,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.16242304615100003), np.float64(0.0)]",0,"[np.float64(0.837576953849), np.float64(0.0)]",0,1,7,0.4187884769245,0.16242304615100003,0.0
0,8,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.65659344892191), np.float64(0.0)]",0,"[np.float64(0.34340655107809004), np.float64(1.0)]",0,1,8,0.6717032755390451,0.65659344892191,0.0
0,8,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.34170065477499), np.float64(-0.678750369519)]",0,"[np.float64(0.34170065477499), np.float64(-0.32124963048099997)]",0,1,8,0.01022551214699502,-0.34170065477499,-0.678750369519
