block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,"[1, 1]",0,0,[0.55],[1.],1,1.0,0.0,0.0
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[0, 0]",1,"[-1, 0]",0,0,[-0.275],[-0.5],1,-0.5,0.0,0.0
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",1,"[0, -1]",0,0,[-0.275],[-0.5],1,-0.5,0.0,0.0
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,[0.275],[0.5],1,0.5,0.0,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.98), np.float64(0.0)]",1,"[np.float64(1.255), np.float64(-0.725)]",0,0,[-0.39875],[-0.225],2,0.26499999999999996,-0.98,0.0
0,2,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.98), np.float64(0.0)]",0,"[np.float64(-0.255), np.float64(-0.275)]",0,1,[0.39875],[0.225],2,-0.265,0.98,0.0
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(0.0), np.float64(-0.27)]",0,"[np.float64(-0.725), np.float64(0.545)]",0,1,[-0.39875],[-0.225],2,-0.08999999999999997,0.0,-0.27
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.98), np.float64(0.27)]",0,"[np.float64(-0.53), np.float64(-0.8200000000000001)]",0,1,[0.5225],[-0.05],2,-0.675,0.98,0.27
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.19575), np.float64(0.2641)]",1,"[np.float64(0.5945), np.float64(-0.86535)]",0,0,[-0.4544375],[-0.10125],3,-0.13542499999999996,-0.19575,0.2641
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.2498999999999998), np.float64(-0.19575)]",0,"[np.float64(0.14885000000000026), np.float64(0.5945)]",0,1,[-0.1794375],[0.39875],3,0.37167500000000014,0.2498999999999998,-0.19575
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.3868600000000001), np.float64(0.030455499999999996)]",1,"[np.float64(0.06757749999999996), np.float64(-0.5760179999999999)]",0,0,[-0.47949688],[-0.0455625],4,-0.25422025,0.3868600000000001,0.030455499999999996
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.8369), np.float64(-0.5336000000000001)]",0,"[np.float64(-0.35939999999999994), np.float64(0.01110000000000011)]",0,1,[0.510125],[-0.0225],3,-0.17414999999999992,0.8369,-0.5336000000000001
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.91115), np.float64(-0.2695)]",0,"[np.float64(-0.30990000000000006), np.float64(-0.12925000000000003)]",0,1,[0.4544375],[0.10125],3,-0.21957500000000005,0.91115,-0.2695
0,4,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.827477), np.float64(-0.39616500000000004)]",0,"[np.float64(-0.28191450000000007), np.float64(-0.058272500000000005)]",0,1,[0.47949688],[0.0455625],4,-0.17009350000000004,0.827477,-0.39616500000000004
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.2900894999999999), np.float64(0.3868600000000001)]",1,"[np.float64(-1.110652), np.float64(-1.2074225)]",0,0,[-0.63074688],[-0.8205625],4,-1.15903725,0.2900894999999999,0.3868600000000001
0,4,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.739862), np.float64(-0.522722)]",0,"[np.float64(-0.24998699999999996), np.float64(0.01259700000000008)]",0,1,[0.50455625],[-0.010125],4,-0.11869499999999994,0.739862,-0.522722
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.45308595000000007), np.float64(-0.12506936)]",0,"[np.float64(0.026410924999999974), np.float64(-0.39543376499999994)]",0,1,[-0.49077359],[-0.02050312],5,-0.18451141999999998,0.45308595000000007,-0.12506936
0,5,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.67236551), np.float64(-0.5103769399999999)]",0,"[np.float64(-0.17692175999999993), np.float64(0.005820689999999962)]",0,1,[0.50205031],[-0.00455625],5,-0.08555053499999998,0.67236551,-0.5103769399999999
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.7983494600000001), np.float64(0.06085592500000003)]",1,"[np.float64(1.429096335), np.float64(-0.43010905)]",0,0,[-0.55883609],[0.13074688],5,0.49949364250000006,-0.7983494600000001,0.06085592500000003
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.6021649483), np.float64(-0.05527351849999998)]",0,"[np.float64(-0.04332885455000002), np.float64(0.6141096122499999)]",0,1,[-0.25147624],[0.55883609],6,0.28539037884999996,0.6021649483,-0.05527351849999998
0,5,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.751360085), np.float64(-0.45327205000000004)]",0,"[np.float64(-1.23085696), np.float64(-0.026224825000000007)]",0,1,[0.21577359],[-0.47949688],5,-0.6285408925,0.751360085,-0.45327205000000004
0,6,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.6245966348), np.float64(-0.5046726638)]",0,"[np.float64(-0.12664694730000003), np.float64(0.002622351299999992)]",0,1,[0.50092264],[-0.00205031],6,-0.06201229800000002,0.6245966348,-0.5046726638
0,6,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.4190287057999999), np.float64(-0.4789723785000001)]",0,"[np.float64(0.36519770045000005), np.float64(0.2631987847500001)]",0,1,[0.37209812],[0.28422641],6,0.31419824260000007,0.4190287057999999,-0.4789723785000001
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.4602168997500001), np.float64(-0.5125944496999999)]",0,"[np.float64(0.03055669399999994), np.float64(0.003368043449999858)]",0,1,[-0.49584812],[-0.00922641],6,0.0169623687249999,0.4602168997500001,-0.5125944496999999
0,7,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.5904019590290001), np.float64(-0.502102759526)]",0,"[np.float64(-0.09132459965400008), np.float64(0.0011801189010000046)]",0,1,[0.50041519],[-0.00092264],7,-0.04507224037650004,0.5904019590290001,-0.502102759526
0,7,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.46846720713000006), np.float64(-0.509293767119)]",0,"[np.float64(0.02738091005749993), np.float64(0.0051418843064999775)]",0,1,[-0.49813165],[-0.00415188],7,0.016261397181999954,0.46846720713000006,-0.509293767119
0,7,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.5176320849214999), np.float64(-0.22103756944500003)]",0,"[np.float64(0.11026979789100011), np.float64(0.8489394522575)]",0,1,[0.71744415],[0.62790188],7,0.47960462507425006,0.5176320849214999,-0.22103756944500003
0,8,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.475860052845525), np.float64(-0.50425472049863)]",0,"[np.float64(0.02227159988884997), np.float64(0.002386373233004946)]",0,1,[-0.49915924],[-0.00186835],8,0.012328986560927457,0.475860052845525,-0.50425472049863
0,7,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.5904661575715), np.float64(0.5465539015049999)]",0,"[np.float64(-0.33898991538400003), np.float64(-0.29507765931749996)]",0,1,[-0.11316431],[0.25147624],7,-0.31703378735075,0.5904661575715,0.5465539015049999
0,8,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.56574431712242), np.float64(-0.50094624300302)]",0,"[np.float64(-0.06615950540367), np.float64(0.0005310547217700634)]",0,1,[0.50018683],[-0.00041519],8,-0.032814225340949965,0.56574431712242,-0.50094624300302
0,8,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.5474049303520699), np.float64(0.61092309376735)]",0,"[np.float64(-0.26484908308644506), np.float64(-1.328367246501725)]",0,1,[0.59784987],[-0.21744415],8,-0.796608164794085,0.5474049303520699,0.61092309376735
0,8,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.49893888041782), np.float64(0.25737779537384997)]",0,"[np.float64(-1.385774571433445), np.float64(-1.144213486389475)]",0,1,[-0.60092394],[-0.88683569],8,-1.26499402891146,0.49893888041782,0.25737779537384997
0,9,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.12477974613078979), np.float64(-0.8639514212878355)]",0,"[np.float64(-0.523855807087821), np.float64(0.46487536033080434)]",0,1,[-0.82041577],[-0.39907606],9,-0.029490223378508318,0.12477974613078979,-0.8639514212878355
0,9,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.5478812506634291), np.float64(-0.5004258093756854)]",0,"[np.float64(-0.04806808538999152), np.float64(0.000238974649122925)]",0,1,[0.50008408],[-0.00018683],9,-0.0239145553704343,0.5478812506634291,-0.5004258093756854
