block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,correct_action,accuracy,v_values,w_values,h_values,q_prediction_errors,v_prediction_errors,trial_total,prediction_errors,averaged_pe,h_values1,h_values2
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0010999999999999998), np.float64(0.0010999999999999998)]","[0, -1]","[0, -1]",1,"[0, -1, 0, -1]",-0.5,0.0010999999999999998,0.0010999999999999998
0,1,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0010999999999999998), np.float64(0.0010999999999999998)]","[1, 1]","[1, 1]",1,"[1, 1, 1, 1]",1.0,0.0010999999999999998,0.0010999999999999998
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",0,0,1,[0],"[0.01, 0.01]","[np.float64(0.0010999999999999998), np.float64(0.0010999999999999998)]","[1, 0]","[1, 0]",1,"[1, 0, 1, 0]",0.5,0.0010999999999999998,0.0010999999999999998
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0010999999999999998), np.float64(0.0010999999999999998)]","[0, -1]","[0, -1]",1,"[0, -1, 0, -1]",-0.5,0.0010999999999999998,0.0010999999999999998
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.13)]",1,0,0,[np.float64(-0.95)],[ 0.01315789 -0.98684211],"[np.float64(0.0014473684210526312), np.float64(-0.22425263157894737)]","[np.float64(0.0), np.float64(-0.87)]","[np.float64(0.95), np.float64(-0.050000000000000044)]",2,"[np.float64(0.95), np.float64(-0.050000000000000044), np.float64(0.0), np.float64(-0.87)]",0.007499999999999979,0.0014473684210526312,-0.22425263157894737
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.13)]",0,0,1,[np.float64(-0.95)],[ 0.01315789 -0.98684211],"[np.float64(0.0014473684210526312), np.float64(-0.22425263157894737)]","[np.float64(0.0), np.float64(-0.87)]","[np.float64(0.95), np.float64(-0.050000000000000044)]",2,"[np.float64(0.95), np.float64(-0.050000000000000044), np.float64(0.0), np.float64(-0.87)]",0.007499999999999979,0.0014473684210526312,-0.22425263157894737
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.13), np.float64(0.0)]",0,0,1,[np.float64(0.95)],[0.98717949 0.01282051],"[np.float64(0.22428974358974357), np.float64(0.00141025641025641)]","[np.float64(0.87), np.float64(0.0)]","[np.float64(0.050000000000000044), np.float64(-0.95)]",2,"[np.float64(0.050000000000000044), np.float64(-0.95), np.float64(0.87), np.float64(0.0)]",-0.007499999999999979,0.22428974358974357,0.00141025641025641
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.33), np.float64(0.13)]",0,0,1,[np.float64(0.95)],[0.35833333 0.64166667],"[np.float64(0.33311666666666667), np.float64(0.18628333333333336)]","[np.float64(0.6699999999999999), np.float64(0.87)]","[np.float64(0.050000000000000044), np.float64(0.050000000000000044)]",2,"[np.float64(0.050000000000000044), np.float64(0.050000000000000044), np.float64(0.6699999999999999), np.float64(0.87)]",0.41000000000000003,0.33311666666666667,0.18628333333333336
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.4171)]",0,0,1,[np.float64(-0.04749999999999999)],[ 0.42177733 -0.57822267],"[np.float64(0.046395506839387625), np.float64(-0.4348234931606124)]","[np.float64(0.0), np.float64(-0.5829)]","[np.float64(0.04749999999999999), np.float64(-0.9525)]",3,"[np.float64(0.04749999999999999), np.float64(-0.9525), np.float64(0.0), np.float64(-0.5829)]",-0.371975,0.046395506839387625,-0.4348234931606124
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.609457)]",0,0,1,[np.float64(-0.002375000000000002)],[ 0.31882278 -0.68117722],"[np.float64(0.035070505754543485), np.float64(-0.6173462242454565)]","[np.float64(0.0), np.float64(-0.390543)]","[np.float64(0.002375000000000002), np.float64(-0.997625)]",4,"[np.float64(0.002375000000000002), np.float64(-0.997625), np.float64(0.0), np.float64(-0.390543)]",-0.34644825,0.035070505754543485,-0.6173462242454565
