block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,"[np.float64(-0.47), np.float64(-0.47)]",0,0,1,-0.47,0.0,0.0
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,"[np.float64(0.735), np.float64(-0.265)]",0,0,1,0.235,0.0,0.0
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",1,"[np.float64(0.265), np.float64(-0.735)]",0,0,1,-0.235,0.0,0.0
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.62475), np.float64(-0.1961)]",0,"[np.float64(0.11024999999999996), np.float64(-0.06890000000000002)]",0,1,2,0.02067499999999997,0.62475,-0.1961
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,"[np.float64(0.47), np.float64(0.47)]",0,0,1,0.47,0.0,0.0
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.22525), np.float64(-0.5438999999999999)]",0,"[np.float64(0.03975000000000001), np.float64(-0.19110000000000005)]",0,1,2,-0.07567500000000002,0.22525,-0.5438999999999999
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.39949999999999997), np.float64(-0.3478)]",1,"[np.float64(-0.07050000000000001), np.float64(-0.12219999999999998)]",0,0,2,-0.09634999999999999,-0.39949999999999997,-0.3478
0,2,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.39949999999999997), np.float64(0.3478)]",1,"[np.float64(0.07050000000000001), np.float64(0.12219999999999998)]",0,0,2,0.09634999999999999,0.39949999999999997,0.3478
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.7063349999999999), np.float64(-0.25466500000000003)]",0,"[np.float64(0.02866500000000005), np.float64(-0.010334999999999983)]",0,1,3,0.009165000000000034,0.7063349999999999,-0.25466500000000003
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.25466500000000003), np.float64(-0.7063349999999999)]",0,"[np.float64(0.010334999999999983), np.float64(-0.02866500000000005)]",0,1,3,-0.009165000000000034,0.25466500000000003,-0.7063349999999999
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.2623129), np.float64(-0.7307002499999999)]",0,"[np.float64(0.002687099999999998), np.float64(-0.004299750000000047)]",0,1,4,-0.0008063250000000244,0.2623129,-0.7307002499999999
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.459425), np.float64(0.43822799999999995)]",1,"[np.float64(0.275575), np.float64(-0.703228)]",0,0,3,-0.21382649999999997,0.459425,0.43822799999999995
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.459425), np.float64(-0.43822799999999995)]",0,"[np.float64(-0.010575000000000001), np.float64(-0.03177200000000002)]",0,1,3,-0.021173500000000012,-0.459425,-0.43822799999999995
0,4,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.69366375), np.float64(-0.08216071999999996)]",0,"[np.float64(0.04133624999999996), np.float64(-0.18283928000000005)]",0,1,4,-0.07075151500000004,0.69366375,-0.08216071999999996
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.46725049999999996), np.float64(-0.4652342)]",0,"[np.float64(-0.002749500000000016), np.float64(-0.004765799999999987)]",0,1,4,-0.0037576500000000013,-0.46725049999999996,-0.4652342
0,4,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.7275471), np.float64(-0.26344975000000004)]",0,"[np.float64(0.0074528999999999845), np.float64(-0.0015502499999999753)]",0,1,4,0.0029513250000000046,0.7275471,-0.26344975000000004
0,5,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.733062246), np.float64(-0.2647674625)]",0,"[np.float64(0.0019377539999999582), np.float64(-0.0002325375000000185)]",0,1,5,0.0008526082499999699,0.733062246,-0.2647674625
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.264301354), np.float64(-0.7343550375)]",0,"[np.float64(0.000698646000000025), np.float64(-0.0006449625000000125)]",0,1,5,2.6841750000006215e-05,0.264301354,-0.7343550375
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.46928513), np.float64(-0.46928513)]",0,"[np.float64(0.73428513), np.float64(-0.26571487)]",0,1,5,0.23428512999999998,-0.46928513,-0.46928513
0,6,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.73449618396), np.float64(-0.264965119375)]",0,"[np.float64(0.0005038160399999381), np.float64(-3.48806250000111e-05)]",0,1,6,0.00023446770749996348,0.73449618396,-0.264965119375
0,5,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.724252575), np.float64(-0.237574108)]",0,"[np.float64(-0.724252575), np.float64(0.237574108)]",0,1,5,-0.24333923349999997,0.724252575,-0.237574108
0,6,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.18830566949999994), np.float64(-0.03563611620000001)]",0,"[np.float64(-0.18830566949999994), np.float64(0.03563611620000001)]",0,1,6,-0.07633477664999996,0.18830566949999994,-0.03563611620000001
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.07408586619999996), np.float64(-0.6951427695)]",0,"[np.float64(0.19091413380000005), np.float64(-0.03985723050000001)]",0,1,6,0.07552845165000002,0.07408586619999996,-0.6951427695
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.26481835204), np.float64(-0.734903255625)]",0,"[np.float64(0.00018164796000003092), np.float64(-9.674437499995747e-05)]",0,1,6,4.245179250003672e-05,0.26481835204,-0.734903255625
0,7,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.7348690078296), np.float64(-0.26499476790625)]",0,"[np.float64(0.00013099217040002387), np.float64(-5.232093750029421e-06)]",0,1,7,6.288003832499722e-05,0.7348690078296,-0.26499476790625
0,7,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.2649527715304), np.float64(-0.73498548834375)]",0,"[np.float64(4.7228469600035794e-05), np.float64(-1.451165624999362e-05)]",0,1,7,1.6358406675021087e-05,0.2649527715304,-0.73498548834375
0,8,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.734965942035696), np.float64(-0.2649992151859375)]",0,"[np.float64(3.4057964304001764e-05), np.float64(-7.848140625155153e-07)]",0,1,8,1.6636575120743125e-05,0.734965942035696,-0.2649992151859375
0,7,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.04895947406999998), np.float64(-0.0053454174300000025)]",0,"[np.float64(0.68604052593), np.float64(-0.25965458257)]",0,1,7,0.21319297167999998,0.04895947406999998,-0.0053454174300000025
0,7,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(0.215362325212), np.float64(-0.729021415425)]",0,"[np.float64(-0.9503623252119999), np.float64(0.994021415425)]",0,1,7,0.021829545106500037,0.215362325212,-0.729021415425
0,8,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[np.float64(-0.48790579544487994), np.float64(0.11589678768625)]",1,"[np.float64(-0.24709420455512004), np.float64(0.14910321231375)]",0,0,8,-0.04899549612068502,-0.48790579544487994,0.11589678768625
0,8,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.5566294632582), np.float64(-0.2260518126145)]",0,"[np.float64(0.17837053674180003), np.float64(-0.038948187385500016)]",0,1,8,0.06971117467815001,0.5566294632582,-0.2260518126145
0,8,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.264987720597904), np.float64(-0.7349978232515625)]",0,"[np.float64(1.227940209602707e-05), np.float64(-2.176748437499043e-06)]",0,1,8,5.0513268292640134e-06,0.264987720597904,-0.7349978232515625
0,9,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.688623660447132), np.float64(-0.25915777189217504)]",0,"[np.float64(0.04637633955286802), np.float64(-0.005842228107824976)]",0,1,9,0.02026705572252152,0.688623660447132,-0.25915777189217504
0,9,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.697935869316732), np.float64(0.226233164798425)]",1,"[np.float64(0.962935869316732), np.float64(-0.961233164798425)]",0,0,9,0.0008513522591535039,-0.697935869316732,0.226233164798425
0,9,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.734991144929281), np.float64(-0.2649998822778906)]",0,"[np.float64(8.855070719016034e-06), np.float64(-1.1772210939398065e-07)]",0,1,9,4.368674304811027e-06,0.734991144929281,-0.2649998822778906
0,9,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.26499680735545506), np.float64(-0.7349996734877343)]",0,"[np.float64(-0.26499680735545506), np.float64(0.7349996734877343)]",0,1,9,0.23500143306613963,0.26499680735545506,-0.7349996734877343
0,10,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.7229421517162543), np.float64(-0.2641236657838263)]",0,"[np.float64(0.012057848283745676), np.float64(-0.0008763342161737242)]",0,1,10,0.005590757033785976,0.7229421517162543,-0.2641236657838263
0,10,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.12055961960249018), np.float64(-0.48507937715240945)]",0,"[np.float64(0.14444038039750984), np.float64(-0.24992062284759053)]",0,1,10,-0.05274012122504035,0.12055961960249018,-0.48507937715240945
0,10,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.734997697681613), np.float64(-0.2649999823416836)]",0,"[np.float64(2.3023183869375075e-06), np.float64(-1.7658316420199327e-08)]",0,1,10,1.142330035258654e-06,0.734997697681613,-0.2649999823416836
0,10,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.06889916991241832), np.float64(-0.11024995102316015)]",0,"[np.float64(-0.06889916991241832), np.float64(0.11024995102316015)]",0,1,10,0.020675390555370918,0.06889916991241832,-0.11024995102316015
0,11,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.01791378417722876), np.float64(-0.016537492653474026)]",0,"[np.float64(-0.48791378417722875), np.float64(-0.45346250734652593)]",0,1,11,-0.47068814576187734,0.01791378417722876,-0.016537492653474026
0,11,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.7318649594462261), np.float64(-0.26486854986757397)]",0,"[np.float64(0.0031350405537738935), np.float64(-0.00013145013242604753)]",0,1,11,0.001501795210673923,0.7318649594462261,-0.26486854986757397
0,12,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.3431424161139205), np.float64(-0.4019806238980211)]",0,"[np.float64(-0.12685758388607948), np.float64(-0.06801937610197889)]",0,1,12,-0.09743847999402919,-0.3431424161139205,-0.4019806238980211
0,12,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.7341848894560188), np.float64(-0.2649802824801361)]",0,"[np.float64(0.0008151105439812012), np.float64(-1.9717519863904354e-05)]",0,1,12,0.0003976965120586484,0.7341848894560188,-0.2649802824801361
0,11,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.22744550109664746), np.float64(-0.6975119065728614)]",0,"[np.float64(-0.22744550109664746), np.float64(0.6975119065728614)]",0,1,11,0.235033202738107,0.22744550109664746,-0.6975119065728614
0,12,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.05913583028512834), np.float64(-0.10462678598592923)]",0,"[np.float64(-0.05913583028512834), np.float64(0.10462678598592923)]",0,1,12,0.022745477850400445,0.05913583028512834,-0.10462678598592923
0,11,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.7349994013972194), np.float64(-0.26499999735125257)]",0,"[np.float64(-0.7349994013972194), np.float64(0.26499999735125257)]",0,1,11,-0.23499970202298343,0.7349994013972194,-0.26499999735125257
0,12,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.1910998443632771), np.float64(-0.03974999960268788)]",1,"[np.float64(-0.1910998443632771), np.float64(0.03974999960268788)]",0,0,12,-0.0756749223802946,0.1910998443632771,-0.03974999960268788
0,13,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.01537531587413337), np.float64(-0.015694017897889392)]",0,"[np.float64(-0.01537531587413337), np.float64(0.015694017897889392)]",0,1,13,0.000159351011878011,0.01537531587413337,-0.015694017897889392
0,13,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.4370170281896193), np.float64(-0.4597970935847031)]",0,"[np.float64(0.7020170281896193), np.float64(-0.2752029064152969)]",0,1,13,0.21340706088716122,-0.4370170281896193,-0.4597970935847031
0,13,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.7347880712585648), np.float64(-0.26499704237202043)]",0,"[np.float64(-0.26478807125856485), np.float64(0.7349970423720205)]",0,1,13,0.2351044855567278,0.7347880712585648,-0.26499704237202043
0,13,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.02866497665449158), np.float64(-0.010334999896698848)]",0,"[np.float64(0.7063350233455084), np.float64(-0.2546650001033012)]",0,1,13,0.2258350116211036,0.02866497665449158,-0.010334999896698848
0,14,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.003997582127274676), np.float64(-0.002354102684683409)]",0,"[np.float64(-0.003997582127274676), np.float64(0.002354102684683409)]",0,1,14,-0.0008217397212956336,0.003997582127274676,-0.002354102684683409
0,14,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.5388448985272268), np.float64(0.3597504436441969)]",0,"[np.float64(-0.06884489852722686), np.float64(0.11024955635580308)]",0,1,14,0.02070232891428811,0.5388448985272268,0.3597504436441969
0,14,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.08247557267069894), np.float64(-0.6937195640377054)]",0,"[np.float64(0.18252442732930108), np.float64(-0.04128043596229458)]",0,1,14,0.07062199568350325,0.08247557267069894,-0.6937195640377054
