block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,"[1, 1]",0,0,1,1.0,0.0,0.0
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",1,"[0, -1]",0,0,1,-0.5,0.0,0.0
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",1,"[0, -1]",0,0,1,-0.5,0.0,0.0
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.37)]",0,"[np.float64(0.0), np.float64(-0.63)]",0,1,2,-0.315,0.0,-0.37
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.37)]",0,"[np.float64(0.0), np.float64(-0.63)]",0,1,2,-0.315,0.0,-0.37
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.45), np.float64(0.37)]",1,"[np.float64(0.55), np.float64(0.63)]",0,0,2,0.5900000000000001,0.45,0.37
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,1,0.5,0.0,0.0
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.45), np.float64(0.0)]",0,"[np.float64(0.55), np.float64(0.0)]",0,1,2,0.275,0.45,0.0
0,3,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.6535)]",0,"[np.float64(-1.0), np.float64(-0.34650000000000003)]",0,1,3,-0.67325,0.0,-0.6535
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.6535)]",0,"[np.float64(0.0), np.float64(-0.34650000000000003)]",0,1,3,-0.17325000000000002,0.0,-0.6535
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.6975), np.float64(0.6031)]",1,"[np.float64(0.3025), np.float64(-0.6031)]",0,0,3,-0.1503,0.6975,0.6031
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.6535), np.float64(0.0)]",0,"[np.float64(0.34650000000000003), np.float64(0.0)]",0,1,3,0.17325000000000002,0.6535,0.0
0,4,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.8336250000000001), np.float64(0.379953)]",0,"[np.float64(0.16637499999999994), np.float64(-0.379953)]",0,1,4,-0.10678900000000002,0.8336250000000001,0.379953
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.809425)]",0,"[np.float64(0.0), np.float64(-0.19057500000000005)]",0,1,4,-0.09528750000000002,0.0,-0.809425
0,4,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.37), np.float64(-0.809425)]",1,"[np.float64(-0.63), np.float64(-0.19057500000000005)]",0,0,4,-0.4102875,-0.37,-0.809425
0,4,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.781705), np.float64(0.0)]",0,"[np.float64(0.21829500000000002), np.float64(0.0)]",0,1,4,0.10914750000000001,0.781705,0.0
0,5,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.8624741499999999), np.float64(0.0)]",0,"[np.float64(0.13752585000000006), np.float64(0.0)]",0,1,5,0.06876292500000003,0.8624741499999999,0.0
0,5,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.8951837500000001), np.float64(0.20897415)]",0,"[np.float64(0.10481624999999994), np.float64(-0.20897415)]",0,1,5,-0.05207895000000003,0.8951837500000001,0.20897415
0,6,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.9339657625000001), np.float64(0.1149357825)]",0,"[np.float64(0.06603423749999993), np.float64(-0.1149357825)]",0,1,6,-0.024450772500000037,0.9339657625000001,0.1149357825
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.89518375)]",0,"[np.float64(-1.0), np.float64(-0.10481625000000006)]",0,1,5,-0.552408125,0.0,-0.89518375
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.37), np.float64(-0.9423510625)]",0,"[np.float64(-0.63), np.float64(-0.0576489375)]",0,1,6,-0.34382446875,-0.37,-0.9423510625
0,6,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.9133587145), np.float64(0.0)]",0,"[np.float64(0.08664128550000005), np.float64(0.0)]",0,1,6,0.04332064275000003,0.9133587145,0.0
0,5,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.6535), np.float64(-0.87993775)]",0,"[np.float64(0.6535), np.float64(-0.12006225000000004)]",0,1,5,0.26671887499999997,-0.6535,-0.87993775
0,6,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.411705), np.float64(-0.9339657625)]",0,"[np.float64(0.411705), np.float64(-0.06603423750000004)]",0,1,6,0.17283538124999998,-0.411705,-0.9339657625
0,7,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[np.float64(-0.6031), np.float64(-0.968293084375)]",0,"[np.float64(-0.39690000000000003), np.float64(0.968293084375)]",0,1,7,0.28569654218749996,-0.6031,-0.968293084375
0,8,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(-0.749953), np.float64(-0.53256119640625)]",1,"[np.float64(-0.250047), np.float64(0.53256119640625)]",0,0,8,0.141257098203125,-0.749953,-0.53256119640625
0,7,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.25937414999999997), np.float64(-0.963681169375)]",0,"[np.float64(0.25937414999999997), np.float64(0.963681169375)]",0,1,7,0.6115276596875,-0.25937414999999997,-0.963681169375
0,7,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.945415990135), np.float64(0.0)]",0,"[np.float64(0.054584009865000005), np.float64(0.0)]",0,1,7,0.027292004932500002,0.945415990135,0.0
0,7,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.958398430375), np.float64(0.063214680375)]",0,"[np.float64(0.041601569624999946), np.float64(0.936785319625)]",0,1,7,0.489193444625,0.958398430375,0.063214680375
0,8,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.96561207378505), np.float64(0.0)]",0,"[np.float64(0.034387926214950015), np.float64(0.0)]",0,1,8,0.017193963107475008,0.96561207378505,0.0
0,8,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.16340571449999997), np.float64(-0.5300246431562501)]",0,"[np.float64(0.16340571449999997), np.float64(0.5300246431562501)]",0,1,8,0.346715178828125,-0.16340571449999997,-0.5300246431562501
0,8,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.97379101113625), np.float64(0.48476807420625)]",0,"[np.float64(0.026208988863750005), np.float64(0.51523192579375)]",0,1,8,0.27072045732875,0.97379101113625,0.48476807420625
0,9,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.10294560013499998), np.float64(-0.29151355373593757)]",0,"[np.float64(0.10294560013499998), np.float64(0.29151355373593757)]",0,1,9,0.19722957693546878,-0.10294560013499998,-0.29151355373593757
0,9,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.9834883370158375), np.float64(0.7166224408134375)]",0,"[np.float64(-0.9834883370158375), np.float64(-0.7166224408134375)]",0,1,9,-0.8500553889146375,0.9834883370158375,0.7166224408134375
