block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,correct_action,accuracy,v_values,w_values,h_values,q_prediction_errors,v_prediction_errors,trial_total,prediction_errors,averaged_pe,h_values1,h_values2
0,1,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.00020000000000000017), np.float64(0.00020000000000000017)]","[0, 1]","[0, 1]",1,"[0, 1, 0, 1]",0.5,0.00020000000000000017,0.00020000000000000017
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.00020000000000000017), np.float64(0.00020000000000000017)]","[1, 0]","[1, 0]",1,"[1, 0, 1, 0]",0.5,0.00020000000000000017,0.00020000000000000017
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.00020000000000000017), np.float64(0.00020000000000000017)]","[0, -1]","[0, -1]",1,"[0, -1, 0, -1]",-0.5,0.00020000000000000017,0.00020000000000000017
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.0), np.float64(-0.47)]",0,0,1,[np.float64(-0.04)],[ 0.07692308 -0.92307692],"[np.float64(0.00153846153846154), np.float64(-0.4790615384615384)]","[np.float64(0.0), np.float64(0.47)]","[np.float64(0.04), np.float64(0.04)]",2,"[np.float64(0.04), np.float64(0.04), np.float64(0.0), np.float64(0.47)]",0.13749999999999998,0.00153846153846154,-0.4790615384615384
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.00020000000000000017), np.float64(0.00020000000000000017)]","[0, -1]","[0, -1]",1,"[0, -1, 0, -1]",-0.5,0.00020000000000000017,0.00020000000000000017
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.0), np.float64(0.47)]",1,0,0,[np.float64(0.04)],[0.06666667 0.93333333],"[np.float64(0.0013333333333333342), np.float64(0.4792666666666666)]","[np.float64(1.0), np.float64(-0.47)]","[np.float64(0.96), np.float64(-0.04)]",2,"[np.float64(0.96), np.float64(-0.04), np.float64(1.0), np.float64(-0.47)]",0.3625,0.0013333333333333342,0.4792666666666666
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.07), np.float64(0.0)]",1,0,0,[np.float64(0.0)],[0.98863636 0.01136364],"[np.float64(0.0883727272727273), np.float64(0.0002272727272727275)]","[np.float64(0.9299999999999999), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0)]",2,"[np.float64(1.0), np.float64(0.0), np.float64(0.9299999999999999), np.float64(0.0)]",0.4825,0.0883727272727273,0.0002272727272727275
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.47)]",0,0,1,[np.float64(-0.04)],[ 0.07692308 -0.92307692],"[np.float64(0.00153846153846154), np.float64(-0.4790615384615384)]","[np.float64(-1.0), np.float64(-0.53)]","[np.float64(-0.96), np.float64(-0.96)]",2,"[np.float64(-0.96), np.float64(-0.96), np.float64(-1.0), np.float64(-0.53)]",-0.8625,0.00153846153846154,-0.4790615384615384
0,3,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.1351), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.99389052 0.00610948],"[np.float64(0.15227581036168134), np.float64(0.00012218963831867069)]","[np.float64(-0.1351), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0)]",3,"[np.float64(0.0), np.float64(0.0), np.float64(-0.1351), np.float64(0.0)]",-0.033775,0.15227581036168134,0.00012218963831867069
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.4371)]",0,0,1,[np.float64(-0.038400000000000004)],[ 0.0845932 -0.9154068],"[np.float64(0.001691863966276823), np.float64(-0.4466661360337232)]","[np.float64(0.0), np.float64(-0.5629)]","[np.float64(0.038400000000000004), np.float64(-0.9616)]",3,"[np.float64(0.038400000000000004), np.float64(-0.9616), np.float64(0.0), np.float64(-0.5629)]",-0.371525,0.001691863966276823,-0.4466661360337232
