block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,"[-1, -1]",0,0,1,-1.0,0.0,0.0
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.59), np.float64(-0.74)]",0,"[np.float64(-0.41000000000000003), np.float64(-0.26)]",0,1,2,-0.335,-0.59,-0.74
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[0, 0]",0,"[0, 0]",0,1,1,0.0,0.0,0.0
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",0,"[1, 0]",0,1,1,0.5,0.0,0.0
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.0), np.float64(0.0)]",0,"[np.float64(1.0), np.float64(0.0)]",0,1,2,0.5,0.0,0.0
0,2,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.74), np.float64(0.0)]",0,"[np.float64(-0.74), np.float64(0.0)]",0,1,2,-0.37,0.74,0.0
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[0, 0]",1,"[0, 0]",0,0,1,0.0,0.0,0.0
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(0.0)]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,2,-0.5,0.0,0.0
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.8934), np.float64(-0.8934)]",0,"[np.float64(0.8934), np.float64(-0.10660000000000003)]",0,1,3,0.39339999999999997,-0.8934,-0.8934
0,3,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.19240000000000002), np.float64(0.0)]",0,"[np.float64(-0.19240000000000002), np.float64(0.0)]",0,1,3,-0.09620000000000001,0.19240000000000002,0.0
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.59)]",0,"[np.float64(-1.0), np.float64(-0.41000000000000003)]",0,1,3,-0.7050000000000001,0.0,-0.59
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.74), np.float64(-0.8319)]",0,"[np.float64(0.74), np.float64(-0.16810000000000003)]",0,1,4,0.28595,-0.74,-0.8319
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.23228400000000005), np.float64(-0.956294)]",0,"[np.float64(-0.767716), np.float64(-0.04370600000000002)]",0,1,4,-0.405711,-0.23228400000000005,-0.956294
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.74), np.float64(0.0)]",0,"[np.float64(0.26), np.float64(0.0)]",0,1,3,0.13,0.74,0.0
0,4,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.9324), np.float64(0.0)]",0,"[np.float64(0.0676), np.float64(0.0)]",0,1,4,0.0338,0.9324,0.0
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.05002400000000001), np.float64(0.0)]",0,"[np.float64(0.9499759999999999), np.float64(0.0)]",0,1,4,0.47498799999999997,0.05002400000000001,0.0
0,5,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.7530062399999999), np.float64(0.0)]",0,"[np.float64(0.24699376000000006), np.float64(1.0)]",0,1,5,0.62349688,0.7530062399999999,0.0
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.19240000000000002), np.float64(-0.931079)]",0,"[np.float64(0.19240000000000002), np.float64(-0.06892100000000001)]",0,1,5,0.0617395,-0.19240000000000002,-0.931079
0,5,0,State CD,"['C', 'D']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.982424), np.float64(0.0)]",0,"[np.float64(-0.982424), np.float64(1.0)]",0,1,5,0.008788000000000018,0.982424,0.0
0,5,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.80039384), np.float64(-0.98208054)]",0,"[np.float64(0.80039384), np.float64(-0.017919459999999998)]",0,1,5,0.39123719,-0.80039384,-0.98208054
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.05002400000000001), np.float64(-0.97174239)]",0,"[np.float64(0.05002400000000001), np.float64(-0.028257610000000044)]",0,1,6,0.010883194999999984,-0.05002400000000001,-0.97174239
0,6,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.2081023984), np.float64(-0.9926530214)]",0,"[np.float64(0.2081023984), np.float64(-0.007346978599999998)]",0,1,6,0.1003777099,-0.2081023984,-0.9926530214
0,6,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.9357816224), np.float64(0.59)]",0,"[np.float64(-0.9357816224), np.float64(-0.59)]",0,1,6,-0.7628908111999999,0.9357816224,0.59
