block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[0, -1]",0,1,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[1, 1]",0,0,"[0.01, 0.01]",[0],1,1.0,0.01,0.01
0,2,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[np.float64(0.97), np.float64(0.97)]",0,0,[0.35714286 0.64285714],[np.float64(0.03)],2,0.97,0.35714285714285715,0.6428571428571428
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[1, 0]",0,1,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.07142857 -0.92857143],[np.float64(0.0)],2,-0.5,0.07142857142857142,-0.9285714285714285
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.97), np.float64(-0.03)]",0,1,[0.96428571 0.03571429],[np.float64(0.03)],2,0.47,0.9642857142857143,0.03571428571428571
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",1,"[0, 0]",0,0,"[0.01, 0.01]",[0],1,0.0,0.01,0.01
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",1,"[np.float64(0.0), np.float64(0.0)]",0,0,[0.5 0.5],[np.float64(0.0)],2,0.0,0.5,0.5
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.9409), np.float64(-0.0591)]",0,1,[0.97474817 0.02525183],[np.float64(0.0591)],3,0.44089999999999996,0.9747481684981686,0.025251831501831502
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.06265664 -0.93734336],[np.float64(0.0)],3,-0.5,0.06265664160401002,-0.93734335839599
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",1,"[np.float64(0.0), np.float64(-1.0)]",0,0,[0.5 0.5],[np.float64(0.0)],3,-0.5,0.5,0.5
0,3,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.9409), np.float64(-0.0591)]",0,1,[0.35514615 0.64485385],[np.float64(0.0591)],3,0.44089999999999996,0.3551461506792919,0.6448538493207081
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.03), np.float64(-0.97)]",0,1,[0.67567568 0.32432432],[np.float64(-0.03)],4,-0.47,0.6756756756756757,0.32432432432432434
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.912673), np.float64(-0.087327)]",0,1,[0.48511773 0.51488227],[np.float64(0.087327)],4,0.41267299999999996,0.48511772516038365,0.5148822748396165
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.05496197 -0.94503803],[np.float64(0.0)],4,-0.5,0.05496196631930703,-0.9450380336806931
0,4,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.912673), np.float64(-0.087327)]",0,1,[0.98626789 0.01373211],[np.float64(0.087327)],4,0.41267299999999996,0.9862678900143717,0.01373210998562838
0,5,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.88529281), np.float64(0.88529281)]",0,1,[0.58969135 0.41030865],[np.float64(0.11470719)],5,0.88529281,0.5896913457300075,0.41030865426999263
0,5,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.029099999999999997), np.float64(-0.9709)]",0,1,[0.78380238 0.21619762],[np.float64(-0.029099999999999997)],5,-0.4709,0.7838023803620134,0.21619761963798662
0,6,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.028227), np.float64(-0.971773)]",0,1,[0.90790737 0.09209263],[np.float64(-0.028227)],6,-0.471773,0.9079073704304683,0.09209262956953168
0,5,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.88529281), np.float64(0.88529281)]",0,1,[0.99877041 0.00122959],[np.float64(0.11470719)],5,0.88529281,0.9987704123280314,0.0012295876719685534
0,5,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.04821225 -0.95178775],[np.float64(0.0)],5,-0.5,0.04821225115728687,-0.9517877488427131
0,6,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[np.float64(0.8587340257), np.float64(0.8587340257)]",0,0,[0.60546275 0.39453725],[np.float64(0.14126597429999999)],6,0.8587340257,0.6054627489741482,0.39453725102585185
0,6,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.04229145 -0.95770855],[np.float64(0.0)],6,-0.5,0.042291448383584965,-0.957708551616415
0,6,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.8587340257), np.float64(0.8587340257)]",0,1,[0.90756296 0.09243704],[np.float64(0.14126597429999999)],6,0.8587340257,0.9075629582895899,0.0924370417104101
0,7,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.02738019), np.float64(-0.97261981)]",0,1,[ 0.95417483 -0.04582517],[np.float64(-0.02738019)],7,-0.47261981,0.954174833551724,-0.04582516644827587
0,7,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-1.0), np.float64(-1.0)]",0,1,[ 0.03709776 -0.96290224],[np.float64(0.0)],7,-1.0,0.03709776173998681,-0.9629022382600132
0,8,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0265587843), np.float64(-0.9734412157)]",0,1,[ 0.84081673 -0.15918327],[np.float64(-0.0265587843)],8,-0.4734412157,0.8408167336150325,-0.1591832663849675
0,7,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.832972004929), np.float64(-0.167027995071)]",0,1,[0.84171134 0.15828866],[np.float64(0.167027995071)],7,0.33297200492900003,0.8417113384974795,0.1582886615025205
0,7,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.167027995071), np.float64(-0.167027995071)]",0,1,[0.54014809 0.45985191],[np.float64(0.167027995071)],7,-0.167027995071,0.5401480937604957,0.45985190623950445
0,8,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.80798284478113), np.float64(-0.19201715521887)]",0,1,[0.88693764 0.11306236],[np.float64(0.19201715521887)],8,0.30798284478113,0.8869376397350808,0.11306236026491931
0,8,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.16201715521887), np.float64(-0.16201715521887)]",0,1,[0.5322833 0.4677167],[np.float64(0.16201715521887)],8,-0.16201715521887,0.5322833000059429,0.4677166999940571
0,8,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.97), np.float64(-0.97)]",0,1,[-0.16812603 -0.83187397],[np.float64(-0.03)],8,-0.97,-0.16812602627884266,-0.8318739737211573
